=====================================================================
 SLURM_JOB_ID        = 54750
 SLURM_NODE          = gpic09
 SLURM_JOB_PARTITION = gpi.compute
 You can monitor your Job here: 
 https://dash.tsc.upc.edu:3000/d/ediwvcrdqru9sf/slurm-job-details?orgId=1&var-partition=gpi&var-user=joan.manel.cardenas&var-slurmjobid_id=54750&from=now-24h&to=now
=====================================================================
Number of samples in the test set: 1723
Test Loss: 1.1370560455101508, Test MAE: 2.395424386954601
Real Age: 63.97999954223633, Predicted Age: 61.53
Real Age: 62.040000915527344, Predicted Age: 58.44
Real Age: 64.19999694824219, Predicted Age: 62.22
Real Age: 61.22999954223633, Predicted Age: 63.51
Real Age: 63.689998626708984, Predicted Age: 64.65
Real Age: 71.36000061035156, Predicted Age: 68.92
Real Age: 68.75, Predicted Age: 65.05
Real Age: 69.0, Predicted Age: 70.94
Real Age: 73.20999908447266, Predicted Age: 67.91
Real Age: 71.56999969482422, Predicted Age: 70.31
Real Age: 62.439998626708984, Predicted Age: 62.77
Real Age: 64.61000061035156, Predicted Age: 64.8
Real Age: 61.38999938964844, Predicted Age: 63.67
Real Age: 56.029998779296875, Predicted Age: 55.31
Real Age: 63.52000045776367, Predicted Age: 65.52
Real Age: 71.95999908447266, Predicted Age: 68.94
Real Age: 50.810001373291016, Predicted Age: 53.28
Real Age: 48.40999984741211, Predicted Age: 52.12
Real Age: 55.2599983215332, Predicted Age: 56.6
Real Age: 73.33000183105469, Predicted Age: 66.17
Real Age: 60.40999984741211, Predicted Age: 63.36
Real Age: 60.650001525878906, Predicted Age: 59.21
Real Age: 74.30000305175781, Predicted Age: 71.59
Real Age: 47.79999923706055, Predicted Age: 53.7
Real Age: 59.34000015258789, Predicted Age: 58.94
Real Age: 60.189998626708984, Predicted Age: 62.68
Real Age: 63.849998474121094, Predicted Age: 66.24
Real Age: 62.900001525878906, Predicted Age: 59.88
Real Age: 71.12999725341797, Predicted Age: 70.22
Real Age: 61.369998931884766, Predicted Age: 67.57
Real Age: 66.66000366210938, Predicted Age: 71.05
Real Age: 57.15999984741211, Predicted Age: 54.37
Real Age: 69.13999938964844, Predicted Age: 70.65
Real Age: 64.66000366210938, Predicted Age: 64.71
Real Age: 59.810001373291016, Predicted Age: 55.72
Real Age: 68.44999694824219, Predicted Age: 63.86
Real Age: 71.66999816894531, Predicted Age: 72.1
Real Age: 54.86000061035156, Predicted Age: 53.87
Real Age: 63.27000045776367, Predicted Age: 63.91
Real Age: 57.90999984741211, Predicted Age: 55.99
Real Age: 69.44999694824219, Predicted Age: 64.76
Real Age: 72.61000061035156, Predicted Age: 71.12
Real Age: 66.0, Predicted Age: 65.45
Real Age: 68.79000091552734, Predicted Age: 68.74
Real Age: 67.08000183105469, Predicted Age: 69.12
Real Age: 54.08000183105469, Predicted Age: 54.6
Real Age: 61.630001068115234, Predicted Age: 61.78
Real Age: 50.0099983215332, Predicted Age: 55.07
Real Age: 61.77000045776367, Predicted Age: 62.7
Real Age: 52.02000045776367, Predicted Age: 54.23
Real Age: 52.9900016784668, Predicted Age: 52.42
Real Age: 63.18000030517578, Predicted Age: 69.29
Real Age: 52.61000061035156, Predicted Age: 53.66
Real Age: 67.8499984741211, Predicted Age: 65.93
Real Age: 65.83000183105469, Predicted Age: 60.7
Real Age: 55.540000915527344, Predicted Age: 60.84
Real Age: 67.75, Predicted Age: 66.93
Real Age: 62.84000015258789, Predicted Age: 63.11
Real Age: 66.70999908447266, Predicted Age: 63.04
Real Age: 71.2699966430664, Predicted Age: 68.12
Real Age: 52.27000045776367, Predicted Age: 53.75
Real Age: 55.68000030517578, Predicted Age: 58.56
Real Age: 68.44000244140625, Predicted Age: 63.73
Real Age: 71.41000366210938, Predicted Age: 67.6
Real Age: 64.30999755859375, Predicted Age: 65.35
Real Age: 74.22000122070312, Predicted Age: 71.76
Real Age: 68.33000183105469, Predicted Age: 67.93
Real Age: 54.7599983215332, Predicted Age: 60.29
Real Age: 56.70000076293945, Predicted Age: 54.72
Real Age: 67.69999694824219, Predicted Age: 68.75
Real Age: 79.08000183105469, Predicted Age: 72.57
Real Age: 75.16999816894531, Predicted Age: 73.35
Real Age: 63.47999954223633, Predicted Age: 62.05
Real Age: 72.52999877929688, Predicted Age: 71.6
Real Age: 72.2699966430664, Predicted Age: 72.26
Real Age: 71.88999938964844, Predicted Age: 70.04
Real Age: 52.13999938964844, Predicted Age: 52.94
Real Age: 60.130001068115234, Predicted Age: 68.49
Real Age: 67.9800033569336, Predicted Age: 66.37
Real Age: 63.22999954223633, Predicted Age: 63.58
Real Age: 50.849998474121094, Predicted Age: 53.94
Real Age: 67.16000366210938, Predicted Age: 68.19
Real Age: 58.779998779296875, Predicted Age: 65.81
Real Age: 71.80999755859375, Predicted Age: 71.97
Real Age: 64.9000015258789, Predicted Age: 65.84
Real Age: 56.650001525878906, Predicted Age: 55.55
Real Age: 67.66000366210938, Predicted Age: 70.74
Real Age: 59.65999984741211, Predicted Age: 58.35
Real Age: 59.970001220703125, Predicted Age: 62.97
Real Age: 71.16999816894531, Predicted Age: 73.38
Real Age: 48.5, Predicted Age: 51.66
Real Age: 48.369998931884766, Predicted Age: 52.85
Real Age: 66.41999816894531, Predicted Age: 66.53
Real Age: 77.06999969482422, Predicted Age: 71.3
Real Age: 77.16000366210938, Predicted Age: 71.14
Real Age: 61.88999938964844, Predicted Age: 65.41
Real Age: 57.91999816894531, Predicted Age: 62.73
Real Age: 53.869998931884766, Predicted Age: 58.4
Real Age: 63.36000061035156, Predicted Age: 66.86
Real Age: 52.91999816894531, Predicted Age: 52.4
Real Age: 67.6500015258789, Predicted Age: 61.43
Real Age: 61.58000183105469, Predicted Age: 63.8
Real Age: 49.209999084472656, Predicted Age: 52.76
Real Age: 64.31999969482422, Predicted Age: 63.27
Real Age: 66.6500015258789, Predicted Age: 65.54
Real Age: 68.94999694824219, Predicted Age: 68.05
Real Age: 55.25, Predicted Age: 52.61
Real Age: 70.1500015258789, Predicted Age: 72.21
Real Age: 55.439998626708984, Predicted Age: 53.75
Real Age: 67.8499984741211, Predicted Age: 69.02
Real Age: 56.25, Predicted Age: 54.48
Real Age: 72.63999938964844, Predicted Age: 72.63
Real Age: 76.30000305175781, Predicted Age: 72.54
Real Age: 66.20999908447266, Predicted Age: 69.59
Real Age: 51.869998931884766, Predicted Age: 53.51
Real Age: 67.80999755859375, Predicted Age: 69.28
Real Age: 49.68000030517578, Predicted Age: 52.46
Real Age: 69.01000213623047, Predicted Age: 66.52
Real Age: 64.19000244140625, Predicted Age: 67.64
Real Age: 67.12000274658203, Predicted Age: 61.54
Real Age: 51.560001373291016, Predicted Age: 56.16
Real Age: 70.33999633789062, Predicted Age: 72.47
Real Age: 53.02000045776367, Predicted Age: 54.7
Real Age: 56.380001068115234, Predicted Age: 52.55
Real Age: 60.900001525878906, Predicted Age: 61.06
Real Age: 56.31999969482422, Predicted Age: 52.27
Real Age: 67.75, Predicted Age: 66.64
Real Age: 64.0999984741211, Predicted Age: 65.46
Real Age: 54.06999969482422, Predicted Age: 56.82
Real Age: 63.11000061035156, Predicted Age: 61.37
Real Age: 58.04999923706055, Predicted Age: 56.56
Real Age: 61.099998474121094, Predicted Age: 61.12
Real Age: 66.23999786376953, Predicted Age: 66.01
Real Age: 62.90999984741211, Predicted Age: 64.9
Real Age: 66.12000274658203, Predicted Age: 69.66
Real Age: 62.599998474121094, Predicted Age: 64.81
Real Age: 75.25, Predicted Age: 70.98
Real Age: 72.0999984741211, Predicted Age: 70.21
Real Age: 57.18000030517578, Predicted Age: 61.47
Real Age: 69.87000274658203, Predicted Age: 71.48
Real Age: 64.91000366210938, Predicted Age: 66.04
Real Age: 58.099998474121094, Predicted Age: 61.62
Real Age: 70.98999786376953, Predicted Age: 69.67
Real Age: 68.25, Predicted Age: 69.52
Real Age: 59.5, Predicted Age: 61.22
Real Age: 73.5999984741211, Predicted Age: 72.03
Real Age: 55.959999084472656, Predicted Age: 60.45
Real Age: 55.29999923706055, Predicted Age: 53.7
Real Age: 65.68000030517578, Predicted Age: 65.35
Real Age: 64.77999877929688, Predicted Age: 68.32
Real Age: 55.650001525878906, Predicted Age: 52.24
Real Age: 65.55999755859375, Predicted Age: 63.56
Real Age: 62.529998779296875, Predicted Age: 62.53
Real Age: 65.66000366210938, Predicted Age: 65.03
Real Age: 78.86000061035156, Predicted Age: 73.93
Real Age: 64.5199966430664, Predicted Age: 67.86
Real Age: 52.959999084472656, Predicted Age: 52.43
Real Age: 61.290000915527344, Predicted Age: 63.77
Real Age: 63.029998779296875, Predicted Age: 63.94
Real Age: 59.790000915527344, Predicted Age: 64.4
Real Age: 51.400001525878906, Predicted Age: 52.48
Real Age: 69.7699966430664, Predicted Age: 64.86
Real Age: 62.08000183105469, Predicted Age: 60.92
Real Age: 53.709999084472656, Predicted Age: 54.21
Real Age: 69.08000183105469, Predicted Age: 69.62
Real Age: 53.45000076293945, Predicted Age: 52.81
Real Age: 63.040000915527344, Predicted Age: 63.35
Real Age: 65.29000091552734, Predicted Age: 67.5
Real Age: 60.130001068115234, Predicted Age: 63.85
Real Age: 71.22000122070312, Predicted Age: 67.05
Real Age: 49.77000045776367, Predicted Age: 52.76
Real Age: 57.279998779296875, Predicted Age: 57.3
Real Age: 70.4000015258789, Predicted Age: 63.83
Real Age: 61.43000030517578, Predicted Age: 64.51
Real Age: 55.36000061035156, Predicted Age: 58.33
Real Age: 55.93000030517578, Predicted Age: 57.62
Real Age: 64.11000061035156, Predicted Age: 62.97
Real Age: 72.08000183105469, Predicted Age: 70.8
Real Age: 55.619998931884766, Predicted Age: 57.42
Real Age: 55.65999984741211, Predicted Age: 60.23
Real Age: 61.540000915527344, Predicted Age: 66.55
Real Age: 75.2300033569336, Predicted Age: 67.8
Real Age: 68.58999633789062, Predicted Age: 71.6
Real Age: 71.75, Predicted Age: 71.24
Real Age: 72.18000030517578, Predicted Age: 70.16
Real Age: 65.87999725341797, Predicted Age: 64.68
Real Age: 50.689998626708984, Predicted Age: 52.5
Real Age: 51.41999816894531, Predicted Age: 53.49
Real Age: 68.3499984741211, Predicted Age: 65.84
Real Age: 63.65999984741211, Predicted Age: 66.11
Real Age: 62.529998779296875, Predicted Age: 66.43
Real Age: 58.40999984741211, Predicted Age: 57.57
Real Age: 49.93000030517578, Predicted Age: 52.09
Real Age: 55.06999969482422, Predicted Age: 54.44
Real Age: 59.900001525878906, Predicted Age: 56.32
Real Age: 54.0099983215332, Predicted Age: 52.94
Real Age: 73.9000015258789, Predicted Age: 72.59
Real Age: 52.68000030517578, Predicted Age: 56.91
Real Age: 54.060001373291016, Predicted Age: 52.06
Real Age: 72.47000122070312, Predicted Age: 73.41
Real Age: 70.5199966430664, Predicted Age: 71.22
Real Age: 56.04999923706055, Predicted Age: 54.02
Real Age: 57.79999923706055, Predicted Age: 59.48
Real Age: 61.02000045776367, Predicted Age: 56.73
Real Age: 47.34000015258789, Predicted Age: 51.88
Real Age: 72.04000091552734, Predicted Age: 70.46
Real Age: 77.37000274658203, Predicted Age: 70.37
Real Age: 65.58000183105469, Predicted Age: 64.13
Real Age: 55.40999984741211, Predicted Age: 54.86
Real Age: 53.810001373291016, Predicted Age: 53.38
Real Age: 72.12000274658203, Predicted Age: 71.54
Real Age: 65.05999755859375, Predicted Age: 67.05
Real Age: 58.66999816894531, Predicted Age: 62.83
Real Age: 51.83000183105469, Predicted Age: 52.26
Real Age: 47.88999938964844, Predicted Age: 52.2
Real Age: 72.2699966430664, Predicted Age: 72.01
Real Age: 62.689998626708984, Predicted Age: 54.92
Real Age: 65.44000244140625, Predicted Age: 65.44
Real Age: 69.16999816894531, Predicted Age: 69.64
Real Age: 73.26000213623047, Predicted Age: 69.68
Real Age: 58.189998626708984, Predicted Age: 55.63
Real Age: 71.98999786376953, Predicted Age: 68.29
Real Age: 58.29999923706055, Predicted Age: 57.28
Real Age: 51.81999969482422, Predicted Age: 52.62
Real Age: 71.41999816894531, Predicted Age: 70.66
Real Age: 64.52999877929688, Predicted Age: 63.3
Real Age: 58.68000030517578, Predicted Age: 62.5
Real Age: 72.5, Predicted Age: 70.6
Real Age: 57.349998474121094, Predicted Age: 58.83
Real Age: 61.529998779296875, Predicted Age: 57.8
Real Age: 66.86000061035156, Predicted Age: 63.29
Real Age: 58.849998474121094, Predicted Age: 60.76
Real Age: 56.77000045776367, Predicted Age: 58.96
Real Age: 64.2699966430664, Predicted Age: 61.69
Real Age: 70.47000122070312, Predicted Age: 68.2
Real Age: 62.790000915527344, Predicted Age: 65.48
Real Age: 66.76000213623047, Predicted Age: 67.37
Real Age: 58.75, Predicted Age: 60.17
Real Age: 60.279998779296875, Predicted Age: 58.97
Real Age: 77.79000091552734, Predicted Age: 71.21
Real Age: 49.38999938964844, Predicted Age: 52.2
Real Age: 51.7400016784668, Predicted Age: 56.8
Real Age: 68.20999908447266, Predicted Age: 62.4
Real Age: 53.38999938964844, Predicted Age: 55.3
Real Age: 67.19999694824219, Predicted Age: 66.29
Real Age: 74.55999755859375, Predicted Age: 70.98
Real Age: 57.380001068115234, Predicted Age: 61.86
Real Age: 73.45999908447266, Predicted Age: 71.41
Real Age: 57.16999816894531, Predicted Age: 56.55
Real Age: 61.29999923706055, Predicted Age: 55.54
Real Age: 52.63999938964844, Predicted Age: 52.79
Real Age: 65.7699966430664, Predicted Age: 68.98
Real Age: 69.93000030517578, Predicted Age: 68.64
Real Age: 59.0099983215332, Predicted Age: 58.52
Real Age: 61.540000915527344, Predicted Age: 63.11
Real Age: 55.68000030517578, Predicted Age: 60.32
Real Age: 64.04000091552734, Predicted Age: 60.8
Real Age: 57.029998779296875, Predicted Age: 58.4
Real Age: 63.529998779296875, Predicted Age: 62.33
Real Age: 66.81999969482422, Predicted Age: 65.51
Real Age: 63.04999923706055, Predicted Age: 61.33
Real Age: 47.060001373291016, Predicted Age: 51.68
Real Age: 53.75, Predicted Age: 55.74
Real Age: 58.75, Predicted Age: 57.42
Real Age: 71.37000274658203, Predicted Age: 70.42
Real Age: 64.41999816894531, Predicted Age: 68.0
Real Age: 58.18000030517578, Predicted Age: 57.86
Real Age: 64.01000213623047, Predicted Age: 68.4
Real Age: 63.25, Predicted Age: 66.76
Real Age: 61.900001525878906, Predicted Age: 57.95
Real Age: 62.869998931884766, Predicted Age: 63.93
Real Age: 54.869998931884766, Predicted Age: 52.32
Real Age: 61.290000915527344, Predicted Age: 62.8
Real Age: 63.130001068115234, Predicted Age: 63.61
Real Age: 52.310001373291016, Predicted Age: 53.56
Real Age: 50.7599983215332, Predicted Age: 52.45
Real Age: 68.73999786376953, Predicted Age: 68.93
Real Age: 59.189998626708984, Predicted Age: 59.6
Real Age: 65.19999694824219, Predicted Age: 65.03
Real Age: 51.88999938964844, Predicted Age: 58.1
Real Age: 49.63999938964844, Predicted Age: 53.58
Real Age: 65.30000305175781, Predicted Age: 71.33
Real Age: 72.97000122070312, Predicted Age: 71.11
Real Age: 52.560001373291016, Predicted Age: 52.31
Real Age: 69.29000091552734, Predicted Age: 62.99
Real Age: 68.69000244140625, Predicted Age: 66.71
Real Age: 67.88999938964844, Predicted Age: 69.05
Real Age: 52.5, Predicted Age: 55.43
Real Age: 68.87000274658203, Predicted Age: 71.68
Real Age: 72.52999877929688, Predicted Age: 69.59
Real Age: 51.470001220703125, Predicted Age: 53.46
Real Age: 63.04999923706055, Predicted Age: 65.23
Real Age: 61.72999954223633, Predicted Age: 54.14
Real Age: 61.970001220703125, Predicted Age: 65.87
Real Age: 56.900001525878906, Predicted Age: 57.39
Real Age: 70.5999984741211, Predicted Age: 69.23
Real Age: 67.55999755859375, Predicted Age: 69.48
Real Age: 68.0199966430664, Predicted Age: 68.8
Real Age: 70.5199966430664, Predicted Age: 69.88
Real Age: 62.06999969482422, Predicted Age: 62.1
Real Age: 68.8499984741211, Predicted Age: 65.47
Real Age: 63.0099983215332, Predicted Age: 61.96
Real Age: 58.060001373291016, Predicted Age: 60.55
Real Age: 69.95999908447266, Predicted Age: 67.53
Real Age: 62.75, Predicted Age: 64.87
Real Age: 55.47999954223633, Predicted Age: 61.45
Real Age: 63.290000915527344, Predicted Age: 60.32
Real Age: 50.90999984741211, Predicted Age: 52.36
Real Age: 68.27999877929688, Predicted Age: 69.72
Real Age: 62.849998474121094, Predicted Age: 65.27
Real Age: 54.5099983215332, Predicted Age: 53.49
Real Age: 61.11000061035156, Predicted Age: 56.86
Real Age: 69.4800033569336, Predicted Age: 68.72
Real Age: 50.5099983215332, Predicted Age: 52.52
Real Age: 62.22999954223633, Predicted Age: 64.56
Real Age: 65.23999786376953, Predicted Age: 66.7
Real Age: 64.30000305175781, Predicted Age: 59.25
Real Age: 66.12000274658203, Predicted Age: 67.03
Real Age: 69.43000030517578, Predicted Age: 71.46
Real Age: 66.41999816894531, Predicted Age: 65.95
Real Age: 63.130001068115234, Predicted Age: 61.94
Real Age: 59.36000061035156, Predicted Age: 59.32
Real Age: 73.44999694824219, Predicted Age: 73.54
Real Age: 51.380001068115234, Predicted Age: 55.0
Real Age: 53.41999816894531, Predicted Age: 54.93
Real Age: 56.4900016784668, Predicted Age: 58.53
Real Age: 63.959999084472656, Predicted Age: 64.76
Real Age: 71.3499984741211, Predicted Age: 71.28
Real Age: 56.47999954223633, Predicted Age: 58.26
Real Age: 55.27000045776367, Predicted Age: 56.27
Real Age: 61.7599983215332, Predicted Age: 65.34
Real Age: 70.41999816894531, Predicted Age: 65.94
Real Age: 59.27000045776367, Predicted Age: 58.96
Real Age: 70.73999786376953, Predicted Age: 67.24
Real Age: 56.41999816894531, Predicted Age: 55.41
Real Age: 68.2699966430664, Predicted Age: 67.05
Real Age: 65.18000030517578, Predicted Age: 61.89
Real Age: 60.52000045776367, Predicted Age: 58.7
Real Age: 63.72999954223633, Predicted Age: 69.22
Real Age: 60.220001220703125, Predicted Age: 57.97
Real Age: 64.66999816894531, Predicted Age: 62.9
Real Age: 59.45000076293945, Predicted Age: 56.41
Real Age: 51.91999816894531, Predicted Age: 53.3
Real Age: 57.22999954223633, Predicted Age: 61.21
Real Age: 72.80999755859375, Predicted Age: 69.89
Real Age: 71.48999786376953, Predicted Age: 73.19
Real Age: 55.119998931884766, Predicted Age: 52.47
Real Age: 59.81999969482422, Predicted Age: 62.73
Real Age: 67.7300033569336, Predicted Age: 66.5
Real Age: 51.08000183105469, Predicted Age: 51.82
Real Age: 51.86000061035156, Predicted Age: 52.45
Real Age: 60.91999816894531, Predicted Age: 58.83
Real Age: 60.29999923706055, Predicted Age: 67.65
Real Age: 78.1500015258789, Predicted Age: 73.23
Real Age: 73.37000274658203, Predicted Age: 67.92
Real Age: 63.38999938964844, Predicted Age: 65.45
Real Age: 71.69000244140625, Predicted Age: 67.79
Real Age: 69.38999938964844, Predicted Age: 70.81
Real Age: 51.310001373291016, Predicted Age: 51.73
Real Age: 66.3499984741211, Predicted Age: 64.76
Real Age: 61.279998779296875, Predicted Age: 57.57
Real Age: 70.81999969482422, Predicted Age: 67.85
Real Age: 69.04000091552734, Predicted Age: 68.92
Real Age: 61.52000045776367, Predicted Age: 59.8
Real Age: 49.63999938964844, Predicted Age: 52.72
Real Age: 73.2300033569336, Predicted Age: 71.2
Real Age: 48.7400016784668, Predicted Age: 51.82
Real Age: 60.63999938964844, Predicted Age: 60.68
Real Age: 63.540000915527344, Predicted Age: 62.51
Real Age: 74.77999877929688, Predicted Age: 70.77
Real Age: 55.4900016784668, Predicted Age: 54.55
Real Age: 68.04000091552734, Predicted Age: 69.19
Real Age: 68.19999694824219, Predicted Age: 67.42
Real Age: 72.16000366210938, Predicted Age: 69.89
Real Age: 69.3499984741211, Predicted Age: 71.28
Real Age: 56.54999923706055, Predicted Age: 61.38
Real Age: 57.7400016784668, Predicted Age: 58.19
Real Age: 72.9800033569336, Predicted Age: 71.4
Real Age: 53.06999969482422, Predicted Age: 54.22
Real Age: 64.91999816894531, Predicted Age: 64.71
Real Age: 57.43000030517578, Predicted Age: 60.36
Real Age: 55.130001068115234, Predicted Age: 63.23
Real Age: 55.77000045776367, Predicted Age: 57.58
Real Age: 61.5, Predicted Age: 61.62
Real Age: 70.19999694824219, Predicted Age: 71.99
Real Age: 58.59000015258789, Predicted Age: 58.09
Real Age: 49.61000061035156, Predicted Age: 52.69
Real Age: 74.6500015258789, Predicted Age: 72.6
Real Age: 65.93000030517578, Predicted Age: 61.42
Real Age: 68.16000366210938, Predicted Age: 72.25
Real Age: 67.93000030517578, Predicted Age: 68.34
Real Age: 67.51000213623047, Predicted Age: 66.66
Real Age: 67.73999786376953, Predicted Age: 71.09
Real Age: 69.1500015258789, Predicted Age: 68.51
Real Age: 65.5, Predicted Age: 63.9
Real Age: 74.41999816894531, Predicted Age: 72.13
Real Age: 60.11000061035156, Predicted Age: 63.17
Real Age: 56.959999084472656, Predicted Age: 56.95
Real Age: 63.02000045776367, Predicted Age: 62.77
Real Age: 68.19000244140625, Predicted Age: 66.32
Real Age: 53.43000030517578, Predicted Age: 53.19
Real Age: 69.29000091552734, Predicted Age: 66.55
Real Age: 67.06999969482422, Predicted Age: 62.4
Real Age: 52.31999969482422, Predicted Age: 52.78
Real Age: 58.2400016784668, Predicted Age: 58.34
Real Age: 66.76000213623047, Predicted Age: 66.64
Real Age: 64.41000366210938, Predicted Age: 65.46
Real Age: 48.97999954223633, Predicted Age: 52.22
Real Age: 68.25, Predicted Age: 68.72
Real Age: 67.68000030517578, Predicted Age: 65.35
Real Age: 65.13999938964844, Predicted Age: 67.31
Real Age: 53.58000183105469, Predicted Age: 51.84
Real Age: 53.31999969482422, Predicted Age: 51.75
Real Age: 53.150001525878906, Predicted Age: 53.35
Real Age: 51.38999938964844, Predicted Age: 52.9
Real Age: 56.939998626708984, Predicted Age: 56.33
Real Age: 67.43000030517578, Predicted Age: 68.97
Real Age: 58.08000183105469, Predicted Age: 59.56
Real Age: 57.900001525878906, Predicted Age: 56.82
Real Age: 69.12000274658203, Predicted Age: 66.43
Real Age: 57.349998474121094, Predicted Age: 55.71
Real Age: 54.38999938964844, Predicted Age: 56.4
Real Age: 49.630001068115234, Predicted Age: 51.97
Real Age: 59.70000076293945, Predicted Age: 59.05
Real Age: 69.7300033569336, Predicted Age: 66.13
Real Age: 73.52999877929688, Predicted Age: 70.55
Real Age: 73.58000183105469, Predicted Age: 69.25
Real Age: 47.529998779296875, Predicted Age: 52.62
Real Age: 55.72999954223633, Predicted Age: 53.67
Real Age: 58.040000915527344, Predicted Age: 56.47
Real Age: 62.45000076293945, Predicted Age: 66.21
Real Age: 60.279998779296875, Predicted Age: 63.61
Real Age: 60.91999816894531, Predicted Age: 62.5
Real Age: 64.41999816894531, Predicted Age: 60.13
Real Age: 69.9800033569336, Predicted Age: 69.93
Real Age: 59.970001220703125, Predicted Age: 60.52
Real Age: 56.040000915527344, Predicted Age: 60.79
Real Age: 67.7300033569336, Predicted Age: 70.16
Real Age: 55.61000061035156, Predicted Age: 54.35
Real Age: 76.13999938964844, Predicted Age: 71.68
Real Age: 59.59000015258789, Predicted Age: 55.43
Real Age: 64.12999725341797, Predicted Age: 67.04
Real Age: 62.43000030517578, Predicted Age: 61.06
Real Age: 50.029998779296875, Predicted Age: 52.28
Real Age: 56.290000915527344, Predicted Age: 55.77
Real Age: 64.55999755859375, Predicted Age: 64.7
Real Age: 59.709999084472656, Predicted Age: 65.6
Real Age: 53.38999938964844, Predicted Age: 54.25
Real Age: 52.65999984741211, Predicted Age: 54.01
Real Age: 69.38999938964844, Predicted Age: 69.23
Real Age: 68.33000183105469, Predicted Age: 67.57
Real Age: 77.51000213623047, Predicted Age: 72.2
Real Age: 68.69000244140625, Predicted Age: 71.09
Real Age: 67.63999938964844, Predicted Age: 69.3
Real Age: 62.45000076293945, Predicted Age: 61.16
Real Age: 72.1500015258789, Predicted Age: 71.17
Real Age: 69.58000183105469, Predicted Age: 64.78
Real Age: 69.26000213623047, Predicted Age: 70.9
Real Age: 67.69999694824219, Predicted Age: 67.26
Real Age: 79.0199966430664, Predicted Age: 73.48
Real Age: 60.41999816894531, Predicted Age: 55.47
Real Age: 70.6500015258789, Predicted Age: 69.83
Real Age: 57.060001373291016, Predicted Age: 54.3
Real Age: 53.7400016784668, Predicted Age: 60.36
Real Age: 72.01000213623047, Predicted Age: 71.73
Real Age: 56.290000915527344, Predicted Age: 66.36
Real Age: 63.84000015258789, Predicted Age: 65.56
Real Age: 66.5199966430664, Predicted Age: 69.39
Real Age: 71.80999755859375, Predicted Age: 68.51
Real Age: 73.41999816894531, Predicted Age: 68.87
Real Age: 67.5999984741211, Predicted Age: 68.09
Real Age: 63.2400016784668, Predicted Age: 63.04
Real Age: 62.779998779296875, Predicted Age: 62.99
Real Age: 72.25, Predicted Age: 70.25
Real Age: 64.41000366210938, Predicted Age: 66.73
Real Age: 53.29999923706055, Predicted Age: 52.67
Real Age: 68.94999694824219, Predicted Age: 69.66
Real Age: 61.790000915527344, Predicted Age: 61.48
Real Age: 54.209999084472656, Predicted Age: 53.04
Real Age: 75.3499984741211, Predicted Age: 71.03
Real Age: 63.56999969482422, Predicted Age: 66.04
Real Age: 55.849998474121094, Predicted Age: 55.84
Real Age: 74.0999984741211, Predicted Age: 69.64
Real Age: 65.13999938964844, Predicted Age: 67.34
Real Age: 68.13999938964844, Predicted Age: 71.46
Real Age: 74.61000061035156, Predicted Age: 70.03
Real Age: 67.30000305175781, Predicted Age: 70.31
Real Age: 53.779998779296875, Predicted Age: 55.82
Real Age: 59.209999084472656, Predicted Age: 56.85
Real Age: 73.98999786376953, Predicted Age: 68.7
Real Age: 69.61000061035156, Predicted Age: 68.6
Real Age: 54.2400016784668, Predicted Age: 53.39
Real Age: 73.4800033569336, Predicted Age: 73.55
Real Age: 55.40999984741211, Predicted Age: 54.14
Real Age: 73.36000061035156, Predicted Age: 73.37
Real Age: 71.73999786376953, Predicted Age: 70.74
Real Age: 71.45999908447266, Predicted Age: 70.46
Real Age: 50.61000061035156, Predicted Age: 57.72
Real Age: 65.44000244140625, Predicted Age: 65.45
Real Age: 54.11000061035156, Predicted Age: 52.79
Real Age: 52.61000061035156, Predicted Age: 53.19
Real Age: 61.08000183105469, Predicted Age: 60.34
Real Age: 66.56999969482422, Predicted Age: 64.59
Real Age: 70.55999755859375, Predicted Age: 69.66
Real Age: 51.15999984741211, Predicted Age: 54.85
Real Age: 67.08999633789062, Predicted Age: 66.67
Real Age: 62.779998779296875, Predicted Age: 57.14
Real Age: 68.0999984741211, Predicted Age: 62.21
Real Age: 48.66999816894531, Predicted Age: 52.71
Real Age: 71.12000274658203, Predicted Age: 67.39
Real Age: 65.41000366210938, Predicted Age: 65.2
Real Age: 64.44000244140625, Predicted Age: 60.22
Real Age: 67.12999725341797, Predicted Age: 65.87
Real Age: 61.560001373291016, Predicted Age: 61.66
Real Age: 69.37999725341797, Predicted Age: 67.91
Real Age: 50.709999084472656, Predicted Age: 52.25
Real Age: 58.63999938964844, Predicted Age: 63.42
Real Age: 57.63999938964844, Predicted Age: 54.53
Real Age: 68.38999938964844, Predicted Age: 71.08
Real Age: 71.69999694824219, Predicted Age: 65.42
Real Age: 53.040000915527344, Predicted Age: 59.55
Real Age: 54.5099983215332, Predicted Age: 57.77
Real Age: 53.5, Predicted Age: 52.85
Real Age: 67.80000305175781, Predicted Age: 64.86
Real Age: 59.09000015258789, Predicted Age: 58.08
Real Age: 53.849998474121094, Predicted Age: 52.17
Real Age: 47.54999923706055, Predicted Age: 51.84
Real Age: 55.310001373291016, Predicted Age: 64.73
Real Age: 64.61000061035156, Predicted Age: 62.26
Real Age: 67.0, Predicted Age: 68.73
Real Age: 65.80000305175781, Predicted Age: 66.31
Real Age: 69.26000213623047, Predicted Age: 68.32
Real Age: 53.099998474121094, Predicted Age: 55.11
